name,distance,street,latitude,longitude,categories
Sula Indian Restaurant,466,1128 Commercial Dr,49.274442,-123.069131,Indian Restaurant
Sula Indian Restaurant,337,1128 Commercial Dr,49.274442,-123.069131,Indian Restaurant
Sula Indian Restaurant,654,1128 Commercial Dr,49.274442,-123.069131,Indian Restaurant
Phnom Penh,514,244 E. Georgia St,49.278403,-123.098188,"Cambodian Restaurant,Chinese Restaurant,Vietnamese Restaurant"
St Lawrence Restaurant,494,269 Powell St,49.283299,-123.098036,French Restaurant
Sula Indian Restaurant,48,1128 Commercial Dr,49.274442,-123.069131,Indian Restaurant
Sula Indian Restaurant,233,1128 Commercial Dr,49.274442,-123.069131,Indian Restaurant
Phnom Penh,660,244 E. Georgia St,49.278403,-123.098188,"Cambodian Restaurant,Chinese Restaurant,Vietnamese Restaurant"
Kishimoto Japanese Kitchen + Sushi Bar,744,2054 Commercial Dr,49.26661,-123.069522,Sushi Restaurant
Lombardo's Pizzeria & Restaurant,169,1641 Commercial Dr,49.270086,-123.069898,"Pizzeria,Italian Restaurant"
Calabria Bar,33,1745 Commercial Dr,49.268974,-123.069885,"Bistro,Coffee Shop,Fast Food Restaurant"
Kishimoto Japanese Kitchen + Sushi Bar,36,2054 Commercial Dr,49.26661,-123.069522,Sushi Restaurant
Kishimoto Japanese Kitchen + Sushi Bar,395,2054 Commercial Dr,49.26661,-123.069522,Sushi Restaurant
Szechuan Chong Qing Restaurant,222,2808 Commercial Dr,49.259355,-123.069557,Chinese Restaurant
Szechuan Chong Qing Restaurant,359,2808 Commercial Dr,49.259355,-123.069557,Chinese Restaurant
Rooster's Ice Cream Bar,69,1039 Broadway E,49.262611,-123.082406,"Ice Cream Parlor,Restaurant"
Thai Son Restaurant,271,373 Broadway E,49.262942,-123.096873,"Thai Restaurant,Vietnamese Restaurant"
Kishimoto Japanese Kitchen + Sushi Bar,416,2054 Commercial Dr,49.26661,-123.069522,Sushi Restaurant
