key,name,review_count,rating,latitude,longitude,street_name,distance,pricing,categories
129,Published On Main,126,4.4,49.25283186017385,-123.10116032897228,3593 Main Street,900.7343091032901,,"tapasmallplates,wine_bars,cocktailbars"
129,The Cascade Room,235,3.9,49.2617,-123.10062,2616 Main Street,662.9846019426694,$$,"pubs,newcanadian,cocktailbars"
129,Los Cuervos Taqueria Y Cantina,184,3.9,49.2574755005862,-123.091043941677,603 Kingsway,196.05224782702913,$$,"mexican,latin"
129,The Farmhouse,19,4.1,49.26185879464837,-123.09710762514682,352 East 10th Avenue,460.71006218415414,,"italian,wine_bars"
129,Key Party,27,4.4,49.26448,-123.10132,2303 Main Street,871.8310538035431,,lounges
129,The Biltmore Cabaret,93,3.9,49.2603124,-123.0964455,2755 Prince Edward Street,323.3543189478521,$,"musicvenues,bars"
129,Sun Sui Wah Seafood Restaurant,560,3.6,49.25053,-123.1006,3888 Main Street,1101.5424771647154,$$,"seafood,dimsum,cantonese"
129,The Watson,7,4.7,49.25774,-123.10083,3080 Main Street,594.9742411230304,,cocktailbars
129,Good Co. Bars,82,3.2,49.2590286,-123.1008305,2904 Main Street,583.4686926394253,$$,bars
129,Hail Mary's,16,4.3,49.2623351,-123.0894392,670 E Broadway,459.1871889230302,,"newcanadian,cocktailbars"
129,Anh and Chi,669,4.0,49.2550314422938,-123.100882202153,3388 Main Street,722.1389283416289,$$$,"vietnamese,cocktailbars"
129,El Camino's,203,3.5,49.2561154,-123.1010503,3250 Main Street,655.720142229135,$$,latin
129,Osteria Savio Volpe,437,4.2,49.2574913,-123.0909344,615 Kingsway,200.00342987997237,$$$,italian
129,Les Faux Bourgeois,457,4.0,49.2572813531481,-123.089767330802,663 E 15th Avenue,278.3874683261168,$$,"french,cafes"
129,Uncle Abe's,17,3.5,49.258107,-123.100949,3032 Main Street,587.9106331781472,,tradamerican
129,Italia Bella Bar & Grill,39,4.0,49.2632473,-123.1061808,53 West Broadway,1089.01806497457,$$,"italian,bars"
129,Burdock,188,3.4,49.26092,-123.10066,2702 Main Street,624.6077156998688,$$,tapasmallplates
129,Hyde,56,3.5,49.2586938,-123.1009313,2960 Main Street,590.4701221211334,$$,"burgers,tapas"
130,Sal y Limón,652,4.0,49.2569043786921,-123.08924632997,701 Kingsway Street,512.2639677422334,$$,mexican
130,Burgoo Bistros,503,3.9,49.25765498958033,-123.100815,3096 Main Street,931.8786467025502,$$,"comfortfood,bistros"
130,Hail Mary's,16,4.3,49.2623351,-123.0894392,670 E Broadway,91.90126681733625,,"newcanadian,cocktailbars"
130,The Cascade Room,235,3.9,49.2617,-123.10062,2616 Main Street,824.4317585648841,$$,"pubs,newcanadian,cocktailbars"
130,Published On Main,126,4.4,49.25283186017385,-123.10116032897228,3593 Main Street,1287.6246243294338,,"tapasmallplates,wine_bars,cocktailbars"
130,Los Cuervos Taqueria Y Cantina,184,3.9,49.2574755005862,-123.091043941677,603 Kingsway,463.96557258351726,$$,"mexican,latin"
130,Key Party,27,4.4,49.26448,-123.10132,2303 Main Street,913.3030312337311,,lounges
130,The Biltmore Cabaret,93,3.9,49.2603124,-123.0964455,2755 Prince Edward Street,523.8237937135402,$,"musicvenues,bars"
130,The Farmhouse,19,4.1,49.26185879464837,-123.09710762514682,352 East 10th Avenue,559.7159137554216,,"italian,wine_bars"
130,Anh and Chi,669,4.0,49.2550314422938,-123.100882202153,3388 Main Street,1100.7870629861427,$$$,"vietnamese,cocktailbars"
130,Osteria Savio Volpe,437,4.2,49.2574913,-123.0909344,615 Kingsway,460.295921113719,$$$,italian
130,Good Co. Bars,82,3.2,49.2590286,-123.1008305,2904 Main Street,873.2844088987355,$$,bars
130,Red Truck Beer,88,3.9,49.2687840002752,-123.096584714949,295 E 1st Avenue,961.775289828015,$$,"breweries,beerbar,beertours"
130,The Watson,7,4.7,49.25774,-123.10083,3080 Main Street,928.4724218622657,,cocktailbars
130,Dear Gus Snack Bar,4,4.5,49.26708,-123.1026,2040 Quebec Street,1140.5152557828912,,wine_bars
130,El Camino's,203,3.5,49.2561154,-123.1010503,3250 Main Street,1022.7203656403517,$$,latin
130,Uncle Abe's,17,3.5,49.258107,-123.100949,3032 Main Street,910.2922606981665,,tradamerican
130,Les Faux Bourgeois,457,4.0,49.2572813531481,-123.089767330802,663 E 15th Avenue,470.9061223469704,$$,"french,cafes"
130,The Lido,19,3.5,49.262354,-123.0924698,518 E Broadway,240.85567325606007,$$,"musicvenues,pubs"
130,Kin Kao Song,33,4.3,49.2629749,-123.0986667,317 E Broadway,688.0919006095002,,"thai,wine_bars,cocktailbars"
131,Hail Mary's,16,4.3,49.2623351,-123.0894392,670 E Broadway,125.50240610473544,,"newcanadian,cocktailbars"
131,The Cascade Room,235,3.9,49.2617,-123.10062,2616 Main Street,885.1428594744114,$$,"pubs,newcanadian,cocktailbars"
131,Sal y Limón,652,4.0,49.2569043786921,-123.08924632997,701 Kingsway Street,720.8900786282755,$$,mexican
131,The Farmhouse,19,4.1,49.26185879464837,-123.09710762514682,352 East 10th Avenue,623.599177317542,,"italian,wine_bars"
131,Key Party,27,4.4,49.26448,-123.10132,2303 Main Street,902.7301196586418,,lounges
131,Burgoo Bistros,503,3.9,49.25765498958033,-123.100815,3096 Main Street,1077.5318590599456,$$,"comfortfood,bistros"
131,Strange Fellows Brewing,71,4.2,49.2723690970219,-123.077669106424,1345 Clark Drive,1286.561941055215,$,breweries
131,The Biltmore Cabaret,93,3.9,49.2603124,-123.0964455,2755 Prince Edward Street,640.3195142173939,$,"musicvenues,bars"
131,Red Truck Beer,88,3.9,49.2687840002752,-123.096584714949,295 E 1st Avenue,822.7078161720763,$$,"breweries,beerbar,beertours"
131,Los Cuervos Taqueria Y Cantina,184,3.9,49.2574755005862,-123.091043941677,603 Kingsway,676.0168036149918,$$,"mexican,latin"
131,Good Co. Bars,82,3.2,49.2590286,-123.1008305,2904 Main Street,995.8954413116713,$$,bars
